iter	RMSE
0	11.91768944
1	10.90771447
2	9.945304046
3	9.071972583
4	8.288748413
5	7.592924269
6	6.952694978
7	6.336876141
8	5.803088962
9	5.30952325
10	4.872478441
11	4.453769773
12	4.092720288
13	3.783140634
14	3.486860456
15	3.206210292
16	2.950441497
17	2.733932432
18	2.5270072
19	2.347423896
20	2.187880094
21	2.040305046
22	1.910518921
23	1.783028599
24	1.677115858
25	1.576029929
26	1.487762034
27	1.404512605
28	1.339320206
29	1.279528889
30	1.224174809
31	1.176273273
32	1.125576659
33	1.091138322
34	1.058634039
35	1.027290527
36	1.002206354
37	0.979355928
38	0.9552863077
39	0.9355380263
40	0.9159589154
41	0.9003730752
42	0.8865567662
43	0.8750033013
44	0.8660026836
45	0.8559868869
46	0.8478241416
47	0.8405660013
48	0.8331046041
49	0.8265490757
