date,sentiment_nltk
2012-07-23,0.998
2012-07-24,-0.6101
2012-07-27,0.7501
2012-07-30,-0.9588
2012-07-31,0.9998
2012-08-10,0.5379
2012-08-14,-0.3784
2012-08-15,0.996
2012-08-16,0.9955
2012-08-17,0.765
2012-08-21,0.9566
2012-08-22,-0.98
2012-08-23,0.9698
2012-08-27,0.9981
2012-08-28,0.9033
2012-08-30,0.9952
2012-09-13,0.9995
2012-09-17,0.8858
2012-09-20,0.9984
2012-09-24,0.9022
2012-09-25,-0.736
2012-09-26,0.9559
2012-09-28,0.8225
2012-10-08,0.9991
2012-10-09,0.9831
2012-10-10,-0.9864
2012-10-12,0.9983
2012-10-15,0.5807
2012-10-16,0.919
2012-10-18,0.9975
2012-10-19,-0.295
2012-10-22,0.9961
2012-10-23,0.9994
2012-10-24,-0.9847
2012-10-25,-0.9194
2012-10-26,-0.8742
2012-10-31,0.9918
2012-11-09,0.9966
2012-11-10,0.9168
2012-11-12,-0.9447
2012-11-13,0.9992
2012-11-14,0.8337
2012-11-15,0.9437
2012-11-16,-0.9215
2012-11-19,0.9994
2012-11-20,0.9996
2012-11-21,0.9382
2012-11-23,0.993
2012-11-26,0.9993
2012-11-27,0.9987
2012-11-28,0.9974
2012-11-30,0.9484
2012-12-09,0.8462
2012-12-10,0.9992
2012-12-11,0.9654
2012-12-12,-0.4238
2012-12-17,0.998
2012-12-18,0.9917
2012-12-19,0.775
2012-12-20,0.9955
2012-12-24,0.3176
2012-12-26,-0.9903
2012-12-27,0.9927
2012-12-28,0.4767
2012-12-31,0.9923
2013-01-03,0.9997
2013-01-04,0.9985
2013-01-07,0.9974
2013-01-08,0.9562
2013-01-14,-0.8044
2013-01-15,0.9661
2013-01-16,0.2969
2013-01-17,0.9995
2013-01-22,0.9996
2013-01-23,0.9999
2013-01-24,0.998
2013-01-25,0.9996
2013-01-28,0.9994
2013-01-30,0.9954
2013-02-01,0.9965
2013-02-04,0.9974
2013-02-05,0.9186
2013-02-08,0.9975
2013-02-10,0.9834
2013-02-12,0.998
2013-02-13,-0.9357
2013-02-19,0.5574
2013-02-25,-0.4389
2013-02-26,0.9956
2013-02-27,0.9979
2013-02-28,0.9818
2013-03-01,0.981
2013-03-04,-0.9468
2013-03-05,0.9972
2013-03-06,0.9978
2013-03-07,0.9949
2013-03-12,0.9995
2013-03-13,0.5719
2013-03-14,0.931
2013-03-19,0.9738
2013-03-20,0.9753
2013-03-25,0.9965
2013-03-27,0.8628
2013-03-28,0.9986
2013-04-01,0.9157
2013-04-02,0.9717
2013-04-03,0.9978
2013-04-04,0.99
2013-04-09,0.9254
2013-04-10,0.9996
2013-04-11,0.9987
2013-04-17,0.8481
2013-04-18,-0.9964
2013-04-19,0.9967
2013-04-22,0.999
2013-04-23,0.9106
2013-04-24,0.996
2013-04-25,0.9522
2013-04-26,0.9366
2013-04-29,0.9851
2013-04-30,0.9994
2013-05-02,0.999
2013-05-03,0.9995
2013-05-06,0.999
2013-05-07,0.9993
2013-05-08,0.9982
2013-05-09,0.9662
2013-05-12,0.9997
2013-05-14,0.0377
2013-05-15,0.9884
2013-05-16,0.9855
2013-05-20,0.9989
2013-05-22,0.8595
2013-05-23,0.9341
2013-05-28,0.9982
2013-05-29,0.5589
2013-05-30,0.9834
2013-05-31,0.1263
2013-06-02,0.8442
2013-06-03,0.994
2013-06-05,0.9993
2013-06-06,0.9984
2013-06-11,0.9985
2013-06-13,0.9996
2013-06-21,0.9645
2013-06-25,0.999
2013-06-26,0.7066
2013-06-27,0.999
2013-07-01,0.9721
2013-07-02,0.6784
2013-07-08,0.9942
2013-07-10,0.7783
2013-07-11,0.9973
2013-07-16,0.9883
2013-07-17,0.9974
2013-07-18,0.9946
2013-07-22,0.9969
2013-07-23,0.9977
2013-07-24,0.9991
2013-07-25,0.9998
2013-07-26,0.996
2013-07-29,0.9685
2013-07-30,-0.9668
2013-07-31,0.9287
2013-08-01,0.9979
2013-08-02,0.7678
2013-08-04,0.9871
2013-08-05,0.9447
2013-08-07,0.679
2013-08-11,0.9949
2013-08-13,0.997
2013-08-14,0.9984
2013-08-15,0.9965
2013-08-19,0.9977
2013-08-20,0.9979
2013-08-21,0.9989
2013-08-22,0.999
2013-08-27,0.9337
2013-08-28,0.9819
2013-08-29,0.9953
2013-09-04,0.9992
2013-09-05,0.9981
2013-09-09,0.9997
2013-09-10,0.999
2013-09-12,0.9938
2013-09-16,-0.0426
2013-09-17,0.9997
2013-09-19,0.9847
2013-09-20,0.9613
2013-09-23,0.9977
2013-09-24,0.9883
2013-09-25,0.9827
2013-09-26,0.9749
2013-10-04,-0.3604
2013-10-06,0.9947
2013-10-07,0.7717
2013-10-09,0.969
2013-10-10,0.9993
2013-10-14,0.9832
2013-10-16,-0.9672
2013-10-17,0.955
2013-10-18,0.9991
2013-10-22,0.9978
2013-10-23,0.9901
2013-10-24,0.4806
2013-10-25,0.9782
2013-10-28,0.9997
2013-10-29,0.9991
2013-10-30,0.9836
2013-11-01,0.2139
2013-11-04,0.9698
2013-11-06,0.9978
2013-11-07,0.985
2013-11-09,0.9993
2013-11-11,-0.0932
2013-11-12,0.1779
2013-11-13,0.9999
2013-11-14,0.6426
2013-11-19,0.9955
2013-11-20,0.9999
2013-11-21,0.582
2013-11-22,0.9897
2013-11-25,0.9936
2013-11-26,0.9964
2013-11-27,0.9997
2013-11-29,0.9998
2013-12-03,0.9678
2013-12-08,0.9969
2013-12-09,-0.2508
2013-12-11,0.9818
2013-12-12,0.9707
2013-12-13,0.9996
2013-12-16,0.4215
2013-12-17,0.9967
2013-12-18,0.9982
2013-12-20,0.9868
2013-12-23,0.9984
2013-12-24,0.4263
2013-12-30,0.9971
2013-12-31,0.6513
2014-01-04,0.9747
2014-01-05,0.9989
2014-01-07,-0.2695
2014-01-10,0.9999
2014-01-12,0.9995
2014-01-13,0.9765
2014-01-15,0.9993
2014-01-16,0.9996
2014-01-22,0.9542
2014-01-23,0.9982
2014-01-27,0.999
2014-01-28,0.9995
2014-01-29,0.9997
2014-01-30,0.9835
2014-01-31,0.9966
2014-02-04,0.9997
2014-02-05,0.9989
2014-02-07,0.9981
2014-02-09,0.9991
2014-02-10,0.9992
2014-02-12,0.9997
2014-02-13,-0.2087
2014-02-14,0.9799
2014-02-18,0.9954
2014-02-19,0.9977
2014-02-20,0.991
2014-02-21,0.9652
2014-02-24,-0.9855
2014-02-25,0.9904
2014-02-27,-0.6249
2014-03-06,0.8844
2014-03-10,0.9375
2014-03-11,0.9971
2014-03-18,0.7862
2014-03-19,0.9672
2014-03-24,0.9995
2014-03-25,0.9332
2014-03-26,0.9744
2014-03-27,0.993
2014-03-28,0.9965
2014-03-31,0.9964
2014-04-02,0.9999
2014-04-03,-0.1531
2014-04-04,0.9942
2014-04-08,-0.5648
2014-04-09,-0.5267
2014-04-14,0.9995
2014-04-17,0.9948
2014-04-22,0.9935
2014-04-23,0.9998
2014-04-24,1.0
2014-04-25,0.9054
2014-04-28,0.9992
2014-04-30,0.9995
2014-05-05,-0.4679
