date,cpi
7/1/2012,228.59
7/2/2012,228.59
7/3/2012,228.59
7/4/2012,228.59
7/5/2012,228.59
7/6/2012,228.59
7/7/2012,228.59
7/8/2012,228.59
7/9/2012,228.59
7/10/2012,228.59
7/11/2012,228.59
7/12/2012,228.59
7/13/2012,228.59
7/14/2012,228.59
7/15/2012,228.59
7/16/2012,228.59
7/17/2012,228.59
7/18/2012,228.59
7/19/2012,228.59
7/20/2012,228.59
7/21/2012,228.59
7/22/2012,228.59
7/23/2012,228.59
7/24/2012,228.59
7/25/2012,228.59
7/26/2012,228.59
7/27/2012,228.59
7/28/2012,228.59
7/29/2012,228.59
7/30/2012,228.59
7/31/2012,228.59
8/1/2012,229.918
8/2/2012,229.918
8/3/2012,229.918
8/4/2012,229.918
8/5/2012,229.918
8/6/2012,229.918
8/7/2012,229.918
8/8/2012,229.918
8/9/2012,229.918
8/10/2012,229.918
8/11/2012,229.918
8/12/2012,229.918
8/13/2012,229.918
8/14/2012,229.918
8/15/2012,229.918
8/16/2012,229.918
8/17/2012,229.918
8/18/2012,229.918
8/19/2012,229.918
8/20/2012,229.918
8/21/2012,229.918
8/22/2012,229.918
8/23/2012,229.918
8/24/2012,229.918
8/25/2012,229.918
8/26/2012,229.918
8/27/2012,229.918
8/28/2012,229.918
8/29/2012,229.918
8/30/2012,229.918
8/31/2012,229.918
9/1/2012,231.015
9/2/2012,231.015
9/3/2012,231.015
9/4/2012,231.015
9/5/2012,231.015
9/6/2012,231.015
9/7/2012,231.015
9/8/2012,231.015
9/9/2012,231.015
9/10/2012,231.015
9/11/2012,231.015
9/12/2012,231.015
9/13/2012,231.015
9/14/2012,231.015
9/15/2012,231.015
9/16/2012,231.015
9/17/2012,231.015
9/18/2012,231.015
9/19/2012,231.015
9/20/2012,231.015
9/21/2012,231.015
9/22/2012,231.015
9/23/2012,231.015
9/24/2012,231.015
9/25/2012,231.015
9/26/2012,231.015
9/27/2012,231.015
9/28/2012,231.015
9/29/2012,231.015
9/30/2012,231.015
10/1/2012,231.638
10/2/2012,231.638
10/3/2012,231.638
10/4/2012,231.638
10/5/2012,231.638
10/6/2012,231.638
10/7/2012,231.638
10/8/2012,231.638
10/9/2012,231.638
10/10/2012,231.638
10/11/2012,231.638
10/12/2012,231.638
10/13/2012,231.638
10/14/2012,231.638
10/15/2012,231.638
10/16/2012,231.638
10/17/2012,231.638
10/18/2012,231.638
10/19/2012,231.638
10/20/2012,231.638
10/21/2012,231.638
10/22/2012,231.638
10/23/2012,231.638
10/24/2012,231.638
10/25/2012,231.638
10/26/2012,231.638
10/27/2012,231.638
10/28/2012,231.638
10/29/2012,231.638
10/30/2012,231.638
10/31/2012,231.638
11/1/2012,231.249
11/2/2012,231.249
11/3/2012,231.249
11/4/2012,231.249
11/5/2012,231.249
11/6/2012,231.249
11/7/2012,231.249
11/8/2012,231.249
11/9/2012,231.249
11/10/2012,231.249
11/11/2012,231.249
11/12/2012,231.249
11/13/2012,231.249
11/14/2012,231.249
11/15/2012,231.249
11/16/2012,231.249
11/17/2012,231.249
11/18/2012,231.249
11/19/2012,231.249
11/20/2012,231.249
11/21/2012,231.249
11/22/2012,231.249
11/23/2012,231.249
11/24/2012,231.249
11/25/2012,231.249
11/26/2012,231.249
11/27/2012,231.249
11/28/2012,231.249
11/29/2012,231.249
11/30/2012,231.249
12/1/2012,231.221
12/2/2012,231.221
12/3/2012,231.221
12/4/2012,231.221
12/5/2012,231.221
12/6/2012,231.221
12/7/2012,231.221
12/8/2012,231.221
12/9/2012,231.221
12/10/2012,231.221
12/11/2012,231.221
12/12/2012,231.221
12/13/2012,231.221
12/14/2012,231.221
12/15/2012,231.221
12/16/2012,231.221
12/17/2012,231.221
12/18/2012,231.221
12/19/2012,231.221
12/20/2012,231.221
12/21/2012,231.221
12/22/2012,231.221
12/23/2012,231.221
12/24/2012,231.221
12/25/2012,231.221
12/26/2012,231.221
12/27/2012,231.221
12/28/2012,231.221
12/29/2012,231.221
12/30/2012,231.221
12/31/2012,231.221
1/1/2013,231.679
1/2/2013,231.679
1/3/2013,231.679
1/4/2013,231.679
1/5/2013,231.679
1/6/2013,231.679
1/7/2013,231.679
1/8/2013,231.679
1/9/2013,231.679
1/10/2013,231.679
1/11/2013,231.679
1/12/2013,231.679
1/13/2013,231.679
1/14/2013,231.679
1/15/2013,231.679
1/16/2013,231.679
1/17/2013,231.679
1/18/2013,231.679
1/19/2013,231.679
1/20/2013,231.679
1/21/2013,231.679
1/22/2013,231.679
1/23/2013,231.679
1/24/2013,231.679
1/25/2013,231.679
1/26/2013,231.679
1/27/2013,231.679
1/28/2013,231.679
1/29/2013,231.679
1/30/2013,231.679
1/31/2013,231.679
2/1/2013,232.937
2/2/2013,232.937
2/3/2013,232.937
2/4/2013,232.937
2/5/2013,232.937
2/6/2013,232.937
2/7/2013,232.937
2/8/2013,232.937
2/9/2013,232.937
2/10/2013,232.937
2/11/2013,232.937
2/12/2013,232.937
2/13/2013,232.937
2/14/2013,232.937
2/15/2013,232.937
2/16/2013,232.937
2/17/2013,232.937
2/18/2013,232.937
2/19/2013,232.937
2/20/2013,232.937
2/21/2013,232.937
2/22/2013,232.937
2/23/2013,232.937
2/24/2013,232.937
2/25/2013,232.937
2/26/2013,232.937
2/27/2013,232.937
2/28/2013,232.937
3/1/2013,232.282
3/2/2013,232.282
3/3/2013,232.282
3/4/2013,232.282
3/5/2013,232.282
3/6/2013,232.282
3/7/2013,232.282
3/8/2013,232.282
3/9/2013,232.282
3/10/2013,232.282
3/11/2013,232.282
3/12/2013,232.282
3/13/2013,232.282
3/14/2013,232.282
3/15/2013,232.282
3/16/2013,232.282
3/17/2013,232.282
3/18/2013,232.282
3/19/2013,232.282
3/20/2013,232.282
3/21/2013,232.282
3/22/2013,232.282
