date,open,high,low,close,volume,adjclose,sentiment_bert,yield_rate,vix_close,cpi
2012-07-23,21.228571,21.639286,20.989643,21.565357,487975600,18.257217,-1,1.47,18.620001,228.59
2012-07-24,21.692142,21.774286,21.375357,21.46143,565132400,18.169228,1,1.44,20.469999,228.59
2012-07-27,20.536072,20.922501,20.413929,20.898571,403936400,17.692717,0,1.58,16.700001,228.59
2012-07-30,21.104286,21.408571,20.99357,21.251072,379142400,17.991146,0,1.53,18.030001,228.59
2012-07-31,21.543928,21.84643,21.525715,21.812857,462327600,18.466757,-1,1.51,18.93,228.59
2012-08-10,22.096786,22.205713,22.09643,22.203571,194938800,18.878239,-1,1.65,14.74,229.918
2012-08-14,22.566786,22.807501,22.5075,22.560356,340169200,19.181585,0,1.73,14.85,229.918
2012-08-15,22.546429,22.642857,22.419643,22.529642,257342400,19.155476,0,1.8,14.63,229.918
2012-08-16,22.543215,22.741428,22.517857,22.726429,254534000,19.322796,1,1.83,14.29,229.918
2012-08-17,22.857143,23.149643,22.814644,23.146786,442761200,19.680187,1,1.81,13.45,229.918
2012-08-21,23.957857,24.102858,23.22607,23.430714,812719600,19.921597,0,1.8,15.02,229.918
2012-08-22,23.372143,23.892857,23.146786,23.888214,565322800,20.310579,0,1.71,15.11,229.918
2012-08-23,23.789642,23.924999,23.612499,23.665358,420128800,20.121096,-1,1.68,15.96,229.918
2012-08-27,24.285357,24.316786,24.055,24.13143,427008400,20.517368,1,1.65,16.35,229.918
2012-08-28,24.106428,24.146429,23.952499,24.1,267416800,20.49065,1,1.64,16.49,229.918
2012-08-30,23.951429,23.983929,23.673214,23.709642,302699600,20.158754,-1,1.63,17.83,229.918
2012-09-13,24.191786,24.482143,24.098928,24.392143,598360000,20.739037,-1,1.75,14.05,231.015
2012-09-17,24.976786,24.992857,24.807501,24.992144,398031200,21.249178,0,1.85,14.59,231.015
2012-09-20,24.969999,25.002144,24.772142,24.953571,336568400,21.216383,0,1.8,14.07,231.015
2012-09-24,24.530714,24.825714,24.392857,24.67107,639766400,20.9762,0,1.74,14.15,231.015
2012-09-25,24.580713,24.742144,24.035713,24.055,518789600,20.452391,0,1.7,15.43,231.015
2012-09-26,23.883572,24.024643,23.614286,23.75643,576503200,20.19853,1,1.64,16.809999,231.015
2012-09-28,24.241072,24.325357,23.8125,23.825001,535110800,20.256828,0,1.65,15.73,231.015
2012-10-09,22.808929,22.874643,22.269644,22.708929,838597200,19.307911,0,1.74,16.370001,231.638
2012-10-10,22.847857,23.035,22.75,22.889643,510356000,19.461561,1,1.72,16.290001,231.638
2012-10-12,22.484285,22.692142,22.332144,22.489643,460014800,19.121466,0,1.69,16.139999,231.638
2012-10-15,22.583929,22.683214,22.280357,22.67,432502000,19.274811,1,1.7,15.27,231.638
2012-10-16,22.691786,23.225,22.535713,23.206785,549771600,19.731207,0,1.75,15.22,231.638
